ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
4500,Male,35,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K,tara,otten,9,beasley street,noaddresstwo,eatons hill,3142,nsw,7238930
4501,Male,18,White,Never-married,11th,United-States,Private,Exec-managerial,<=50K,neneh,snadden,10,wattle street,noaddresstwo,attwood,4034,wa,4236897
4502,Male,47,White,Married-civ-spouse,Assoc-voc,United-States,Private,Other-service,<=50K,jack,conway,4,canberra avenue,shangri-la,windradynetv heights,4852,qld,1831608
4503,Female,25,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K,cassandra,clancy,42,de burgh street,rsde 261,arrawa rra,2428,qld,2839590
4504,Male,41,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,<=50K,nogivenname,fulwod,8,noaddressuone,noaddresstwo,keba,2146,qld,7562016
4505,Female,23,Asian-Pac-Islander,Never-married,Some-college,Vietnam,Private,Adm-clerical,<=50K,talia,blackfztt,40,noaddressone,noaddresstwo,naracloorte,0nan,vic,5550732
4506,Female,41,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K,caxlni,richarsson,15,furphy place,redbank,halls gap,3107,szm,4455741
4507,Male,26,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K,gus,batse,6,gang gannfkcourt,noaddresstwo,templestowe,2211,nsw,2278261
4508,Male,30,White,Never-married,Some-college,United-States,Local-gov,Adm-clerical,<=50K,casey,wunzh,27,grounds crescent,blue hills,edenq,5467,nostate,6307131
4509,Male,42,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,harriso,prieto,41,merfield place,noaddrestswo,jandakot,7304,nswp,3671058
4510,Female,35,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K,lara,pec,93,ambalinmdum street,grndlwd estatme,withers,3950,nsw,8601820
4511,Female,29,White,Separated,Some-college,United-States,Private,Tech-support,<=50K,nogivenname,whitby,20,tari close,noaddresstwo,albany,2191,nostate,3379715
4512,Female,21,White,Married-spouse-absent,Some-college,United-States,Private,Adm-clerical,<=50K,jai,gabellone,37,lyle place,noaddresstwo,cambridge park,4606,qld,6417638
4513,Male,48,White,Divorced,Masters,United-States,State-gov,Prof-specialty,>50K,lachlan,shepherd,6,packer street,noaddresstwo,alexander heights,4818,tas,3207921
4514,Male,44,White,Divorced,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K,georgia,webbre,4,tillyard drive,noaddresstwo,parkdale,3199,nsw,4039374
4515,Male,34,White,Never-married,9th,United-States,Local-gov,Other-service,<=50K,oligxeri,hwll,24,rosebery street,noaddresstwo,horsham,3091,qld,8630513
