index,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
392_a,391,*,17,*,Never-married,High School,United-States,*,*,<=50K,noah,neeson,18,tillyard drive,island quays,nietta,6210,qld,2565779
799_a,798,*,17,*,Never-married,High School,United-States,*,*,<=50K,aneka,nosurname,5,hanna street,noaddresstwo,east maitland,2250,wa,7767093
1358_a,1357,*,17,*,Never-married,High School,United-States,*,*,<=50K,ella,conway,33,tuthill place,villa 20,mount gravatt,7260,vic,2800694
1398_a,1397,*,17,*,Never-married,High School,United-States,*,*,<=50K,emmerson,woolley,19,mcconnel crescent,noaddresstwo,kalamunda,2040,nsw,6063862
345_a,344,*,17,*,Never-married,High School,United-States,*,*,<=50K,willima,bell,2,montefiore qcrescent,nundorah,mulgrave east,2133,ns,2183130
685_a,684,*,17,White,Never-married,High School,United-States,Private,*,<=50K,bredan,desten,39,anzac prk,moorallie,ebor,4075,qld,6934950
195_a,194,*,17,White,Never-married,High School,United-States,Private,*,<=50K,caitlin,howlett,27,noaddressone,tralee,warners bay,2643,nsw,1691697
560_a,559,*,17,White,Never-married,High School,United-States,Private,*,<=50K,mitchell,doling,9,albermarle place,noaddtresstwo,fivgtree,6020,vic,7421044
1424_a,1423,Male,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,laura,james,128,wakefield garden,noaddresstwo,cranbourne,3113,sa,5748963
619_a,618,Male,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,aana,green,59,fairfax street,fweemilah,queanbeyan,2567,sa,2416494
441_a,440,Male,17,White,Never-married,High School,United-States,Non-Government,*,<=50K,georgia,smith,1,boas place,specialist centre,morayfield,2795,qld,8968706
1429_a,1428,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,kimaf,cleary,75,campbell rteet,noaddresstwo,brancton,2228,nostate,4018842
748_a,747,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,joshua,rowe,45,wheeler crescent,noaddresstwo,batlow,3134,vzv,6952155
243_a,242,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,jordan,holt,4,canopus crescent,noaddresstwo,altona,2306,nsw,7204380
740_a,739,*,17,White,Never-married,High School,United-States,Private,*,<=50K,harriet,bonetti,8,springvale drive,noaddresstwo,paget,2558,vic,2001554
528_a,527,*,17,White,Never-married,High School,United-States,Private,*,<=50K,nogivenname,polkzrrd,227,len waterisstreet,noaddresstwo,laudgredale,2137,qll,3363039
623_a,622,*,17,White,Never-married,High School,United-States,Private,*,<=50K,amber,collins,128,fletcher place,noaddresstwo,noble park,2482,qld,7166211
772_a,771,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,ellb,spink,19,dunn place,noaddresstwo,minyapma,2280,qld,8763619
1276_a,1275,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,csoby,shegog,34,parki nstreet,kurrulta,hackhamm,2093,qld,6622586
251_a,250,Male,17,White,Never-married,High School,United-States,Private,*,<=50K,joshua,mckesaor,42,were sfteet,wrenswood,narre warren,3014,wa,9661439
990_a,989,*,16-20,White,Never-married,*,North America,Private,Other,<=50K,natalia,charlseton,11,foott street,noaddresstwo,coburg,3160,qld,2068884
312_a,311,*,16-20,White,Never-married,*,North America,Private,Other,<=50K,thomas,scholar,14,edols place,central clinic,cronulla,2148,tas,8885464
869_a,868,*,16-20,White,Never-married,*,North America,Private,Other,<=50K,brett,brinkley,12,northcott drive,naoddresstwo,bundena,2108,qdl,2726395
156_a,155,*,18,White,Never-married,High School,United-States,*,*,<=50K,thomas,wgoolnough,28,namatjira drive,noaddresstwor,south guildford,3076,nostaet,6367550
210_a,209,*,18,White,Never-married,High School,United-States,*,*,<=50K,william,kolpondinos,124,oliver street,retirement vlge,merrylands,4811,nsw,3449007
74_a,73,*,18,White,Never-married,High School,United-States,*,*,<=50K,stephen,gasiorek,52,howard street,lake veterinary hospital,thomson,7020,vic,7355255
631_a,630,*,18,White,Never-married,High School,United-States,*,*,<=50K,katelin,whtie,88,gidabal street,noaddresswo,mossman,2707,qjld,8407623
792_a,791,*,18,White,Never-married,High School,United-States,*,*,<=50K,jaek,lloyd,68,boolee street,ormond rise,gullfiver,0nan,nsw,3097494
1103_a,1102,*,18,White,Never-married,High School,North America,Private,*,<=50K,andrew,gammage,169,fawkner street,noaddresstwo,oonoonba,2780,vic,2400343
1436_a,1435,*,18,White,Never-married,High School,North America,Private,*,<=50K,lachlan,spriggs,12,loban court,el-kay,tilba tilba,2166,nostate,2504232
654_a,653,*,18,White,Never-married,High School,North America,Private,*,<=50K,ahrrison,grodon,117,ainsliesvenue,raintree farm,nosububr,6018,qld,7036837
726_a,725,*,18,White,Never-married,High School,United-States,Private,*,<=50K,jessica,mcbratney,11,arthaldo court,reedy creek farm,tyabb,3186,nsw,1202150
191_a,190,*,18,White,Never-married,High School,United-States,Private,*,<=50K,etban,cowan,336,rivettuxteet,dallis park,indooroopilly,4207,qld,4971133
166_a,165,*,18,White,Never-married,High School,United-States,Private,*,<=50K,lucy,bryej,12,amess place,noaddresstwo,randwick,3126,nostate,9135443
72_a,71,*,18,White,Never-married,High School,United-States,Private,Other-service,<=50K,rourke,boeywn,36,goodchild street,noaddresstwo,westdale,5407,qkkm,4702729
541_a,540,*,18,White,Never-married,High School,United-States,Private,Other-service,<=50K,michael,young,132,jabanungga avenue,yaltara,modbury,7006,vic,9105321
879_a,878,*,18,White,Never-married,High School,United-States,Private,Other-service,<=50K,ka,nosurname,19,haswellplace,heagney crescent,queaneyan,7000,nsw,5585835
1279_a,1278,*,19,*,Never-married,*,United-States,*,Other,<=50K,philiops,huisman,2,gunningjpkace,noaddresstwo,blaxknad,6084,wa,7224293
116_a,115,*,19,*,Never-married,*,United-States,*,Other,<=50K,danielle,boevink,4,boothby place,bellorama hostel,nosuburb,3126,nostate,6207650
468_a,467,*,19,*,Never-married,*,United-States,*,Other,<=50K,macey,taylor,718,corinna street,noaddresstwo,altona north,2290,nostate,6693661
644_a,643,Female,19,White,Never-married,*,United-States,Private,*,<=50K,catherine,hadaow,8,ovens street,calvary campus,cremfrne,2535,ncw,5210081
363_a,362,Female,19,White,Never-married,*,United-States,Private,*,<=50K,maco nal,hasenauer,59,carrousw treet,bishop street,bansktwn,2287,nss,2910601
1099_a,1098,Female,19,White,Never-married,*,United-States,Private,*,<=50K,james,arnold,2,anderson street,noaddresstwo,lake albert,3646,nsw,6599091
418_a,417,*,19,*,Never-married,*,North America,Private,*,<=50K,finlay,wagner,88,noaddressone,noaddresstwo,ringwood east,3977,vic,1022225
65_a,64,*,19,*,Never-married,*,North America,Private,*,<=50K,jusitn,crocker,31,unney crescent,waldhugel,singleton heightss,7310,nsw,4026964
315_a,314,*,19,*,Never-married,*,North America,Private,*,<=50K,jasmine,thoxpson,8,blumentllplace,noaddresstwo,young,5032,nsw,8556829
1446_a,1445,*,19,White,Never-married,*,United-States,*,*,<=50K,ridly,ptollard,0,bungonksgstreet,noadtdresstwo,gave,7330,nostate,3543187
234_a,233,*,19,White,Never-married,*,United-States,*,*,<=50K,daniel,sykes,9,burin street,warrane college,dandenong,4114,qld,2102274
362_a,361,*,19,White,Never-married,*,United-States,*,*,<=50K,caleb,turner,54,cooksey place,noaddresstwo,wentworthville,2577,vic,2781538
586_a,585,*,19,White,Never-married,*,United-States,*,*,<=50K,natalee,nosurname,67,knox street,noaddresstwo,thornlugh,4359,vic,5166073
681_a,680,*,19,White,Never-married,*,United-States,*,*,<=50K,ethan,koppleman,198,o'reilly street,reedy creek farm,bathurst,4700,nsw,6757030
26_a,25,*,19,White,Never-married,*,North America,*,*,<=50K,emiily,artin,24,faulkner plcae,taatokoe,hendra,4006,vic,4363680
