ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,soc_sec_id,given_name,surname
2000,Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K,7215881,lucas,mcgregor
2001,Female,64,White,Divorced,HS-grad,United-States,Local-gov,Adm-clerical,<=50K,3878109,dean,eyles
2002,Male,37,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Machine-op-inspct,>50K,1420638,oliver,white
2003,Male,54,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,>50K,8061638,michael,hyland
2004,Female,36,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,>50K,1322845,nogivenname,reid
2005,Male,41,White,Divorced,Masters,United-States,Self-emp-not-inc,Sales,>50K,8831246,chloe,lazaraki
2006,Male,35,White,Married-civ-spouse,7th-8th,United-States,Self-emp-not-inc,Farming-fishing,<=50K,2751175,jessica,painton
2007,Male,63,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Sales,>50K,1488918,mya,maksim
2008,Male,46,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K,9292420,holly,wehr
2009,Male,47,White,Divorced,Masters,United-States,Self-emp-not-inc,Prof-specialty,<=50K,2066144,amber,vincent
2010,Male,24,White,Never-married,Bachelors,United-States,Private,Machine-op-inspct,<=50K,9859519,india,block
2011,Male,29,White,Never-married,Some-college,United-States,Private,Sales,<=50K,5895140,nogivenname,carullo
2012,Female,74,White,Widowed,Some-college,United-States,Federal-gov,Transport-moving,<=50K,9649030,jacqueline,geduld
2013,Male,50,White,Married-civ-spouse,11th,United-States,Private,Transport-moving,>50K,5663323,rhett,george
2014,Female,22,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,2589280,oliver,berry
2015,Female,48,Black,Separated,12th,United-States,Private,Adm-clerical,<=50K,1067001,jacinta,lenzi
2016,Male,30,White,Married-civ-spouse,9th,Mexico,Private,Handlers-cleaners,<=50K,1776479,connor,trait
2017,Male,32,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K,3275049,brianna,white
2018,Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K,2553313,paris,reid
2019,Male,49,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K,1913293,timothy,de crespigny
2020,Female,25,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K,1326266,ewan,whiteley
2021,Female,50,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K,7439457,zane,dixon
2022,Male,44,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K,6364957,oliver,sherriff
2023,Male,65,White,Married-civ-spouse,Assoc-voc,United-States,Private,Farming-fishing,<=50K,7675532,alexander,stoneman
2024,Male,28,White,Married-civ-spouse,Assoc-acdm,United-States,Federal-gov,Adm-clerical,<=50K,2402512,nogivenname,genovese
2025,Female,55,White,Widowed,Bachelors,United-States,Private,Adm-clerical,<=50K,1321883,kaitlyn,van schie
2026,Female,49,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K,9704755,william,hope
2027,Female,31,White,Separated,HS-grad,United-States,Private,Exec-managerial,<=50K,1309513,paris,parremore
2028,Female,47,Black,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,2890790,matthew,ryan
2029,Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K,7422879,portia,weaver
2030,Female,35,Black,Never-married,HS-grad,United-States,Private,Other-service,<=50K,5896664,isabelle,morrison
2031,Male,34,Asian-Pac-Islander,Married-civ-spouse,Bachelors,South,Self-emp-not-inc,Sales,<=50K,1608436,hannah,grainger
2032,Male,49,Black,Widowed,HS-grad,United-States,Local-gov,Protective-serv,<=50K,6871514,tuscany,stephenson
2033,Female,27,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,4709521,xani,andrae
2034,Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K,5239710,hannah,white
