index,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
1_b,4500,Male,35,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K,tara,otten,9,beasley street,noaddresstwo,eatons hill,3142,nsw,7238930
2_b,4501,Male,18,White,Never-married,11th,United-States,Private,Exec-managerial,<=50K,neneh,snadden,10,wattle street,noaddresstwo,attwood,4034,wa,4236897
3_b,4502,Male,47,White,Married-civ-spouse,Assoc-voc,United-States,Private,Other-service,<=50K,jack,conway,4,canberra avenue,shangri-la,windradynetv heights,4852,qld,1831608
4_b,4503,Female,25,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K,cassandra,clancy,42,de burgh street,rsde 261,arrawa rra,2428,qld,2839590
5_b,4504,Male,41,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,<=50K,nogivenname,fulwod,8,noaddressuone,noaddresstwo,keba,2146,qld,7562016
6_b,4505,Female,23,Asian-Pac-Islander,Never-married,Some-college,Vietnam,Private,Adm-clerical,<=50K,talia,blackfztt,40,noaddressone,noaddresstwo,naracloorte,0nan,vic,5550732
7_b,4506,Female,41,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K,caxlni,richarsson,15,furphy place,redbank,halls gap,3107,szm,4455741
8_b,4507,Male,26,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K,gus,batse,6,gang gannfkcourt,noaddresstwo,templestowe,2211,nsw,2278261
9_b,4508,Male,30,White,Never-married,Some-college,United-States,Local-gov,Adm-clerical,<=50K,casey,wunzh,27,grounds crescent,blue hills,edenq,5467,nostate,6307131
10_b,4509,Male,42,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,harriso,prieto,41,merfield place,noaddrestswo,jandakot,7304,nswp,3671058
11_b,4510,Female,35,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K,lara,pec,93,ambalinmdum street,grndlwd estatme,withers,3950,nsw,8601820
12_b,4511,Female,29,White,Separated,Some-college,United-States,Private,Tech-support,<=50K,nogivenname,whitby,20,tari close,noaddresstwo,albany,2191,nostate,3379715
13_b,4512,Female,21,White,Married-spouse-absent,Some-college,United-States,Private,Adm-clerical,<=50K,jai,gabellone,37,lyle place,noaddresstwo,cambridge park,4606,qld,6417638
14_b,4513,Male,48,White,Divorced,Masters,United-States,State-gov,Prof-specialty,>50K,lachlan,shepherd,6,packer street,noaddresstwo,alexander heights,4818,tas,3207921
15_b,4514,Male,44,White,Divorced,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K,georgia,webbre,4,tillyard drive,noaddresstwo,parkdale,3199,nsw,4039374
16_b,4515,Male,34,White,Never-married,9th,United-States,Local-gov,Other-service,<=50K,oligxeri,hwll,24,rosebery street,noaddresstwo,horsham,3091,qld,8630513
17_b,4516,Female,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,noah,hean,14,miller street,noaddresstwo,lake tyers,3150,vic,7586765
18_b,4517,Male,32,White,Divorced,Some-college,United-States,Private,Craft-repair,>50K,ryak,pinkerton,0,noaddressone,noaddresstwo,baffle creek,2550,qld,1652517
19_b,4518,Female,31,Black,Separated,Assoc-acdm,United-States,State-gov,Other-service,<=50K,nogivenname,mcmaster,388,gorrie close,noaddresstwo,blaxland,4575,qld,1832959
20_b,4519,Male,25,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K,kasey,wallwork,7,taylor street,railway reserve,dalby,4153,sa,7523536
21_b,4520,Male,47,Black,Married-civ-spouse,HS-grad,United-States,Federal-gov,Adm-clerical,>50K,edward,whelan,26,beetaloo street,noaddresstwo,middle park,2114,sa,7239782
22_b,4521,Female,46,White,Widowed,11th,United-States,Federal-gov,Adm-clerical,<=50K,isabelle,schmidt,160,must circuit,tullamore heights estate,mount evelyn,2905,tas,4370419
23_b,4522,Male,18,White,Never-married,12th,United-States,Private,Adm-clerical,<=50K,laklhnb,richards,1541,mugga eay,hse 187,hawthorn,4868,nsb,2272754
24_b,4523,Female,31,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,<=50K,jayden,phillixs,48,heagney crescent,noaddresstwo,coromandeil galley,2446,nzw,8485606
25_b,4524,Female,28,White,Married-civ-spouse,HS-grad,United-States,State-gov,Adm-clerical,<=50K,toir,willwms,0,caffyn place,noaddresstwo,woodmlle,2067,vic,7977039
26_b,4525,Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,abbey,waters,27,courtice close,mountain view,gordonvale,6059,wa,7649463
27_b,4526,Male,33,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,>50K,imogen,priest,54,jasper close,jenolan farm,st kilda,2840,nsw,4265953
28_b,4527,Male,41,White,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,>50K,angus,deut,14,gadali crescent,noaddresstwo,preston,3047,qld,2246056
29_b,4528,Male,46,White,Married-civ-spouse,Some-college,United-States,Private,Sales,>50K,jacob,waterhouse,53,noongale court,kalimna village,fitzroy,0830,nsw,5909393
30_b,4529,Male,38,White,Married-civ-spouse,Some-college,United-States,Local-gov,Prof-specialty,<=50K,jarryd,hardie,140,girdlestone circuit,level one,buderim,6022,nsw,9064333
31_b,4530,Male,24,White,Never-married,Bachelors,United-States,Private,Sales,<=50K,oliver,tyley,85,shakespeare crescent,heathglen village,gladstone,3012,tas,4154667
32_b,4531,Male,49,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K,desik,nosurname,1397,hodgson frsecent,noaddresstwo,salamander bay,6104,nsw,9878622
33_b,4532,Female,60,Amer-Indian-Eskimo,Divorced,Some-college,United-States,Federal-gov,Prof-specialty,<=50K,bianca,kerlly,10,namadgicircuit,noaddresstwo,cabamatta,6026,qld,7012152
34_b,4533,Male,44,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K,noah,kuipers,0,antill street,noaddresstwo,springvale south,3134,nsw,3959943
35_b,4534,Male,63,White,Married-civ-spouse,Assoc-voc,United-States,Self-emp-inc,Exec-managerial,>50K,yasmin,jones,37,macnama rsaoplace,noaddresstwo,stanthorpe,5082,nsw,3422189
36_b,4535,Male,40,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K,alexandra,griffin,64,freda gibson circuit,dalveen cooks,glen forrest,3796,nsw,6698700
37_b,4536,Male,45,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K,jacob,mawby,67,jagara street,noaddresstwo,stepney,3956,qld,4239151
38_b,4537,Male,49,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,>50K,dvaid,cocok,28,hicksstreet,noaddresstwo,mulgowie,2280,wa,8717349
39_b,4538,Female,36,White,Divorced,HS-grad,United-States,Private,Sales,<=50K,rebecca,melesse,48,matina street,noaddresstwo,clovelly,3121,nsw,5019390
40_b,4539,Male,65,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Other-service,<=50K,shenae,mllks,14,daley road,koree,carinx,3199,nsw,2142769
41_b,4540,Male,41,White,Widowed,Bachelors,United-States,Private,Exec-managerial,<=50K,nataloa,walsh,48,goldfinch circuit,noaddresstwo,kingsord,3523,nostate,1989484
42_b,4541,Female,25,White,Separated,Masters,United-States,Private,Other-service,<=50K,jak,mury,226,andrea plaxe,noaddresstwo,diamond creek,5041,qld,8505522
43_b,4542,Male,60,White,Widowed,Assoc-voc,United-States,Private,Adm-clerical,<=50K,mej,dumdp,4,middleton circuit,noaddresstwo,nortn rocks,5159,nostate,1721548
44_b,4543,Female,17,White,Never-married,11th,Puerto-Rico,Local-gov,Prof-specialty,<=50K,alison,mclauchlan,13,bunbury street,noaddresstwo,rosebery,2228,vic,9527970
45_b,4544,Female,28,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,>50K,emiily,mac gregor,42,kanangra place,noaddresstwo,kellyville,0nan,vic,2372423
46_b,4545,Male,31,Other,Never-married,Assoc-acdm,United-States,Private,Craft-repair,<=50K,benjamin,bednarczuk,40,rich street,pioneer estate,sadliers crossing,6353,nsw,5376019
47_b,4546,Female,47,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K,a,sarri,1,elthamepkace,noaddresstwo,numukqh,2223,nostate,6363464
48_b,4547,Male,45,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Transport-moving,<=50K,abgbey,tayolor,49,chewings srteet,novotel northbeach,baulkham hills,2066,wa,8785033
49_b,4548,Male,51,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K,micaela,hoel,8,renwick street,sec 3,bayswater north,2155,sa,2296460
50_b,4549,Male,23,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,mi,more,71,ellenborough street,karri lodge,hawhtorn,4285,sa,4064756
51_b,4550,Female,44,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K,molie,mcgowan,47,quiros street,silverton park,elizaeth bay,2707,ns,3774671
52_b,4551,Male,34,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K,ella,lang,199,casuarina street,noaddresstwo,macdonald park,3936,vic,2150427
53_b,4552,Male,19,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K,lachlan,higgins,3,noaddressone,noaddresstwo,slacks nevreek,4660,nsw,8901755
54_b,4553,Male,46,White,Married-civ-spouse,HS-grad,United-States,State-gov,Transport-moving,<=50K,caitlin,shields,71,carslake loop,noaddresstwo,auburn,4655,nsw,5196150
55_b,4554,Male,30,Asian-Pac-Islander,Married-civ-spouse,Doctorate,China,Private,Prof-specialty,>50K,devan,zwar,132,denison street,noaddresstwo,guildford,5014,vic,7153518
56_b,4555,Male,37,White,Married-civ-spouse,10th,Mexico,Private,Farming-fishing,<=50K,alisa,dilon,5,stuart street,noaddresstwo,abrgara,4114,wa,2782701
57_b,4556,Male,56,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K,lachlan,lennon,21,seaborn place,noaddresstwo,salisbury downs,3380,vic,4453245
58_b,4557,Male,29,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K,larissa,mullins,20,jackie howe crescent,noaddresstwo,wallan,6011,nsw,4589896
59_b,4558,Male,46,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Craft-repair,>50K,roisin,caor,20,kinalunmqolace,noaddresstwo,mount gdgkbier,2037,vic,1189440
60_b,4559,Male,55,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,emma,batf s,71,whala pxace,noaddresstwo,heights centenarn,3021,wa,8467723
61_b,4560,Male,45,White,Divorced,Bachelors,United-States,Private,Sales,>50K,antioujs,barron,39,macgreg or street,noaddresstwo,keppel sands,7320,nsw,9036174
62_b,4561,Male,34,White,Married-spouse-absent,HS-grad,Guatemala,Private,Handlers-cleaners,<=50K,kyle,nunn,0,noaddressone,killdrummie cottage,bundaberg,2194,tas,4227856
63_b,4562,Male,41,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K,mya,stacey,134,ivo whitton circuit,coogee beach resort,wentworthville,4170,qld,4083076
64_b,4563,Male,34,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K,nogivvenname,davis,16,ainslie avenue,noaddrsstwo,carbrok,3915,nsw,2757343
65_b,4564,Male,27,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,jesse,nosurname,216,waterfield place,noaddresstwo,rose bay,2444,vic,3355763
66_b,4565,Male,29,Black,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,kylee,scabitssi,7,barrallier street,noaddresstwo,tweeedlb head,3104,nostate,2872694
67_b,4566,Female,19,White,Never-married,12th,United-States,Federal-gov,Other-service,<=50K,benajmin,lonardo,18,menzie place,garden viw,gladesville,4132,wa,1959886
68_b,4567,Male,47,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K,anthony,barron,39,macgregor street,noaddresstwo,keppel sands,7320,nsw,9036574
