index,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
689_b,1988,*,17,*,Never-married,High School,United-States,Private,*,<=50K,joshua,tri,6,arthur circle,noaddresstwo,mountburr,4122,vic,5934950
799_b,2098,*,17,*,Never-married,High School,United-States,Private,*,<=50K,emiily,potter,14,elizabeth crescent,wollongong vet hospital,little mountain,2225,qld,6018212
124_b,1423,*,17,*,Never-married,High School,United-States,Private,*,<=50K,laura,james,128,wakefield garden,noaddresstwo,cranbourne,3113,sa,5748963
254_b,1553,*,17,*,Never-married,High School,United-States,Private,*,<=50K,connor,barkemeyer,6,boult place,borro boat club,sandfire,3950,qld,9407862
1270_b,2569,*,17,*,Never-married,High School,United-States,Private,*,<=50K,cooper,cheung,107,rule street,noaddresstwo,heddon greta,2518,sa,2761409
129_b,1428,*,17,*,Never-married,High School,United-States,Non-Government,*,<=50K,kimaf,cleary,75,campbell rteet,noaddresstwo,brancton,2228,nostate,4018842
58_b,1357,*,17,*,Never-married,High School,United-States,Non-Government,*,<=50K,ella,conway,33,tuthill place,villa 20,mount gravatt,7260,vic,2800694
585_b,1884,*,17,*,Never-married,High School,United-States,Non-Government,*,<=50K,nicole,russell,0,barrallier street,bunya view,toowoomba,2138,wa,3533373
890_b,2189,*,17,*,Never-married,High School,United-States,*,*,<=50K,nogivenname,edwarids,1,owen crescent,noaddresstwo,blackmans bay,2474,nsw,3965304
98_b,1397,*,17,*,Never-married,High School,United-States,*,*,<=50K,emmerson,woolley,19,mcconnel crescent,noaddresstwo,kalamunda,2040,nsw,6063862
1372_b,2671,*,17,*,Never-married,High School,United-States,*,*,<=50K,zane,hampel,55,walsh place,menagerie park,langwarrin,3170,nsw,9213551
863_b,2162,*,16-20,White,Never-married,High School,United-States,*,*,<=50K,seth,roberts,77,covington keescent,jerowen park-pahl road,narre warren,2613,vic,5580308
1304_b,2603,*,16-20,White,Never-married,High School,United-States,*,*,<=50K,connor,kennedy,23,disney court,noaddresstwo,macleod,0nan,nostate,9651957
1404_b,2703,*,16-20,White,Never-married,High School,United-States,*,*,<=50K,charlie,enthoven,14,purnell place,noaddresstwo,sutherland,3156,act,7923044
1093_b,2392,*,18,*,spouse not present,*,United-States,Private,*,<=50K,liam,tarn,136,summerland circuit,noaddresstwo,thomson,2030,wa,6528255
1135_b,2434,*,18,*,spouse not present,*,United-States,Private,*,<=50K,lawson,wilson,22,knox street,noaddresstwo,banksia,2041,vic,9272201
1172_b,2471,*,18,*,spouse not present,*,United-States,Private,*,<=50K,marcus,batchzelor,114,waterfield place,noaddresstw,bureigh heads,4381,wa,2489263
902_b,2201,*,18,White,Never-married,Some-college,United-States,Private,*,<=50K,ned,craker,0,nott street,noaddresstwo,marrickville,3182,wa,5131990
223_b,1522,*,18,White,Never-married,Some-college,United-States,Private,*,<=50K,etcf,cwjs,336,rivett sftfeet,dallis park,indooroopilly,4207,qld,4971133
264_b,1563,*,18,White,Never-married,Some-college,United-States,Private,*,<=50K,nokah,napiner,405,hopetoun circuit,trfloo arm,east hills,2016,tas,6305124
1292_b,2591,*,18,White,Never-married,High School,United-States,*,*,<=50K,alexander,bott,18,britten-jones drive,noaddresstwo,bayview,2480,wa,1741204
490_b,1789,*,18,White,Never-married,High School,United-States,*,*,<=50K,holly,banks,15,leach street,noaddresstwo,strathfield,4551,nsw,6618897
1179_b,2478,*,18,White,Never-married,High School,United-States,*,*,<=50K,patrick,mcginley,100,noaddressone,noaddresstwo,hamilton,3113,wa,4675821
