ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,soc_sec_id
0,Male,39,White,Never-married,Bachelors,United-States,State-gov,Adm-clerical,<=50K,riley,barlovic,53.0,ashley drive,,kallangur,6743,wa,1782872
1,Male,50,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,<=50K,ebony,jones,37.0,eyre street,,keilor east,3196,vic,5193779
2,Male,38,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K,paul,fisher,2.0,newland street,austral building,belmore,3150,vic,7413233
3,Male,53,Black,Married-civ-spouse,11th,United-States,Private,Handlers-cleaners,<=50K,arabella,dominic,18.0,chewings street,,gladstone,4880,nsw,6107631
4,Female,28,Black,Married-civ-spouse,Bachelors,Cuba,Private,Prof-specialty,<=50K,sara-louise,loechel,27.0,kingston street,,mill park,2533,,7777584
5,Female,37,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,<=50K,georgia,newman,11.0,coppins crossing road,great heart,brunswick,2191,vic,9165285
6,Female,49,Black,Married-spouse-absent,9th,Jamaica,Private,Other-service,<=50K,erin,newsin,25.0,nambir court,,alezawndria,2620,,7801219
7,Male,52,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,>50K,alex,egan,36.0,goodparla street,,forest hill,7320,sa,7787542
8,Female,31,White,Never-married,Masters,United-States,Private,Prof-specialty,>50K,zf,hilla,1.0,spafford ceescent,,muswelknrook,2652,wa,6910821
9,Male,42,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K,peter,allen,46.0,corlette crescent,homeleigh,kenmore,6281,nsw,7646446
10,Male,37,Black,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K,courtney,oharris,86.0,reveley ceescent,,north narrabeen,2120,,2073567
11,Male,30,Asian-Pac-Islander,Married-civ-spouse,Bachelors,India,State-gov,Prof-specialty,>50K,aimee,brideson,25.0,petterd street,,glenelg east,2528,vic,4916648
12,Female,23,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K,jordan,merkel,13.0,brownless street,platypus pass (cnr riverlea cls),lutwyche,5159,qld,2126914
13,Male,32,Black,Never-married,Assoc-acdm,United-States,Private,Sales,<=50K,jack,yafes,323.0,shepher ytreet,popeks 1 1k frm,hamptondpark,2093,vic,7670450
14,Male,34,Amer-Indian-Eskimo,Married-civ-spouse,7th-8th,Mexico,Private,Transport-moving,<=50K,jordan,hames-gipps,30.0,,bona vista,manly vale,4215,wa,1100729
15,Male,25,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K,lachlan,benfield,556.0,peppin place,albion heights,dandenong,7011,qld,3674750
16,Male,32,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,kayla,tait,55.0,glossop crescent,,cardiff,3175,,5541685
17,Male,38,White,Married-civ-spouse,11th,United-States,Private,Sales,<=50K,alessqjdria,lawson,33.0,beaumont close,bundarra,winston hills,3284,qlwd,9152315
18,Female,43,White,Divorced,Masters,United-States,Self-emp-not-inc,Exec-managerial,>50K,lumas,atkinxow,82.0,,,willettvmn,4413,wr,8292842
19,Male,40,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K,nathan,simons,209.0,dooring street,raafa estate,woree,2777,nsw,8997209
20,Female,54,Black,Separated,HS-grad,United-States,Private,Other-service,<=50K,thoma,walder,1.0,fullagar crescent,,richardson,4882,axy,9452705
21,Male,35,Black,Married-civ-spouse,9th,United-States,Federal-gov,Farming-fishing,<=50K,ebony,reid,41.0,burnside street,,stawell,3175,tas,1050985
22,Male,43,White,Married-civ-spouse,11th,United-States,Private,Transport-moving,<=50K,isabella,ward,1.0,monkman street,,footsrcay,2413,qlr,3914524
23,Female,59,White,Divorced,HS-grad,United-States,Private,Tech-support,<=50K,pakta,lagjfe,85.0,aspinallstreet,vevey,bayview heights,3117,vic,9056453
24,Male,56,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Tech-support,>50K,jaime,palmer,10.0,prendergast street,,dianella,4019,nsw,3743869
25,Male,19,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K,emiily,martin,24.0,faulkner place,taatooke,hendra,4006,vic,4363680
26,Male,39,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K,coody,denxi,4866.0,callaway crescent,,campsie,5072,nsw,6036205
27,Male,49,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K,sophke,cloam,77.0,melba tsreet,,marrickville,6350,qld,9521136
28,Male,23,White,Never-married,Assoc-acdm,United-States,Local-gov,Protective-serv,<=50K,monique,barclay,4.0,nott street,port macquarie osteopathic centre,mill park,3020,nsw,8999179
29,Male,20,Black,Never-married,Some-college,United-States,Private,Sales,<=50K,dylan,lines,2.0,kellermah close,bulgamarra station,6430,carlisle,vi,5778822
30,Male,45,White,Divorced,Bachelors,United-States,Private,Exec-managerial,<=50K,connor,oates,36.0,,,benowa,2010,nsw,9992707
31,Male,30,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Adm-clerical,<=50K,caitlin,glynnis,20.0,shumack street,,plympton,2016,vic,5902389
32,Male,22,Black,Married-civ-spouse,Some-college,United-States,State-gov,Other-service,<=50K,cayn,arthur,110.0,downds phalce,seaspray terrace,trott park,4857,nsw,5966789
33,Male,48,White,Never-married,11th,Puerto-Rico,Private,Machine-op-inspct,<=50K,liam,rogers,12.0,jansz crescent,,rochester,4565,sa,8445557
