ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class,soc_sec_id,given_name,surname
527,Male,17,White,Never-married,11th,United-States,Private,Sales,<=50K,2377987,charlotte,needham
559,Female,17,White,Never-married,10th,United-States,Private,Other-service,<=50K,6773972,zachary,bradshaw
1423,Male,17,White,Never-married,10th,United-States,Private,Sales,<=50K,4025481,phoebe,whisson
2098,Female,17,White,Never-married,10th,United-States,Private,Sales,<=50K,3201927,benjamin,morrison
4281,Male,17,White,Never-married,11th,United-States,Private,Sales,<=50K,7983195,miller,browne
1397,Male,17,Black,Never-married,9th,United-States,Local-gov,Other-service,<=50K,1635330,emma,mccarter
3283,Female,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,5709157,max,clarke
1428,Male,17,White,Never-married,10th,United-States,Private,Handlers-cleaners,<=50K,3576930,zane,snell
3179,Male,17,White,Never-married,11th,United-States,Self-emp-inc,Prof-specialty,<=50K,4178650,jason,fenwick
4543,Female,17,White,Never-married,11th,Puerto-Rico,Local-gov,Prof-specialty,<=50K,3816506,dante,lowe
194,Female,17,White,Never-married,11th,United-States,Private,Sales,<=50K,3524910,ethan,hipkiss
4490,Male,17,White,Never-married,10th,United-States,Private,Other-service,<=50K,1634109,april,nguyen
4608,Female,17,White,Never-married,12th,United-States,Private,Sales,<=50K,6987405,marleigh,sideris
440,Male,17,White,Never-married,9th,United-States,Private,Other-service,<=50K,3429777,finn,ryan
2189,Male,17,White,Never-married,11th,United-States,Private,Craft-repair,<=50K,7213703,kirra,white
1553,Female,17,White,Never-married,11th,United-States,Private,Adm-clerical,<=50K,9564208,casey,flatman
622,Male,17,White,Never-married,12th,United-States,Private,Other-service,<=50K,5792923,matteus,leong
1988,Male,17,White,Never-married,11th,United-States,Private,Craft-repair,<=50K,2364919,olivia,woodstock
3152,Female,17,White,Never-married,10th,United-States,Private,Sales,<=50K,8148821,jayde,mccarthy
2603,Female,17,White,Never-married,11th,United-States,Private,Sales,<=50K,8291804,mitchell,shepherd
4772,Male,17,White,Never-married,10th,United-States,Private,Prof-specialty,<=50K,4386896,luke,abrahamson
3612,Female,17,White,Never-married,11th,United-States,Private,Sales,<=50K,2929679,grace,mcvicar
989,Male,17,White,Never-married,11th,United-States,Private,Adm-clerical,<=50K,7270771,isabella,waller
250,Male,17,White,Never-married,9th,United-States,Private,Other-service,<=50K,5100494,noah,bishop
242,Male,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,8513947,bryce,laverty
4234,Female,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,6918953,naomi,reid
4918,Male,17,White,Never-married,10th,United-States,Private,Sales,<=50K,3128289,anton,goode
618,Male,17,White,Never-married,11th,United-States,Self-emp-not-inc,Farming-fishing,<=50K,5683667,zachariah,bulgin
4944,Male,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,6294045,kyle,kyriacou
771,Male,17,White,Never-married,11th,United-States,Private,Sales,<=50K,1203476,madeline,volpato
391,Male,17,White,Never-married,11th,United-States,Private,Handlers-cleaners,<=50K,9505241,chevonne,wilkins
1357,Female,17,Asian-Pac-Islander,Never-married,11th,United-States,Private,Adm-clerical,<=50K,1168847,kyle,zagar
3320,Male,17,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,8252947,lachlan,kluske
798,Male,17,White,Never-married,11th,United-States,Private,Sales,<=50K,1553804,drew,bishop
2569,Female,17,Black,Never-married,11th,United-States,Private,Other-service,<=50K,9161275,jacob,nosurname
4763,Female,17,White,Never-married,12th,United-States,Private,Other-service,<=50K,8984765,joel,rundle
4273,Male,17,White,Never-married,11th,United-States,Private,Farming-fishing,<=50K,2110769,joshua,beatton
311,Male,17,White,Never-married,5th-6th,Mexico,Private,Other-service,<=50K,1010947,flynn,fitzpatrick
344,Male,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,5572327,jessica,bradshaw
2703,Female,17,White,Never-married,11th,United-States,Local-gov,Other-service,<=50K,1565265,sarah,dixon
747,Male,17,White,Never-married,10th,United-States,Private,Farming-fishing,<=50K,3522578,ewan,brock
1275,Male,17,White,Never-married,11th,United-States,Private,Other-service,<=50K,1831647,christopher,millar
1884,Male,17,White,Never-married,10th,United-States,Self-emp-not-inc,Adm-clerical,<=50K,5533064,nathan,ryan
739,Female,17,White,Never-married,11th,United-States,Private,Sales,<=50K,6586520,joshua,needham
3240,Male,17,White,Never-married,10th,United-States,Private,Other-service,<=50K,4074359,brianna,waterston
2671,Female,17,White,Never-married,12th,United-States,Private,Other-service,<=50K,6095474,jasmyn,marceta
4015,Male,17,White,Never-married,11th,United-States,Local-gov,Sales,<=50K,2313601,arabella,sorsa
3307,Female,17,Amer-Indian-Eskimo,Never-married,10th,United-States,Private,Other-service,<=50K,8777592,renai,leatham
684,Male,[17-18],White,Never-married,12th,United-States,Private,Handlers-cleaners,<=50K,4398162,fergus,sunderland
4822,Male,[17-18],White,Never-married,11th,Scotland,Private,Other-service,<=50K,2420976,luke,boyle
71,Female,[17-18],White,Never-married,11th,United-States,Private,Other-service,<=50K,6334586,pearson,shepherd
2293,Male,[17-18],White,Never-married,11th,United-States,Private,Craft-repair,<=50K,4585386,isabella,hoehne
878,Female,[17-18],White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,6966115,gillian,lilee
630,Female,18,White,Never-married,11th,United-States,State-gov,Adm-clerical,<=50K,7700094,nogivenname,reid
2824,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,4984322,harry,matthews
3192,Male,18,White,Never-married,11th,United-States,Private,Sales,<=50K,2481294,cade,bishop
4501,Male,18,White,Never-married,11th,United-States,Private,Exec-managerial,<=50K,3088000,hana,dudley
4446,Male,18,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K,2016540,finn,hoang
2284,Male,18,White,Never-married,11th,United-States,Private,Adm-clerical,<=50K,5360010,dylan,neville
3378,Female,18,White,Never-married,11th,United-States,Private,Sales,<=50K,2841376,lily,kradolfer
1890,Male,18,Black,Never-married,11th,United-States,Private,Other-service,<=50K,2169259,james,fimeri
3821,Female,18,White,Never-married,11th,United-States,Private,Other-service,<=50K,3313488,jordan,reimer
4186,Male,18,White,Never-married,HS-grad,United-States,Private,Protective-serv,<=50K,9822954,emma,rook
4172,Male,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,9133711,john,finlay
155,Male,18,White,Never-married,11th,United-States,Private,Handlers-cleaners,<=50K,9205765,charles,hurkett
3350,Male,18,Black,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K,5401507,benjamin,boccuzzo
868,Female,18,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,4200578,lachlan,stanley
653,Male,18,White,Never-married,11th,United-States,Private,Other-service,<=50K,6563324,nicholas,mcfadden
4645,Male,18,White,Married-civ-spouse,11th,United-States,Private,Handlers-cleaners,<=50K,2519145,lily,egan
4811,Male,18,White,Never-married,11th,United-States,Private,Handlers-cleaners,<=50K,8849722,arren,leonardos
4440,Male,18,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,8976049,angelica,domkus
3726,Female,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,6156712,cassidy,morrison
1707,Female,18,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,2214288,matthew,frew
2162,Male,18,White,Never-married,9th,United-States,Private,Handlers-cleaners,<=50K,2726971,hayley,benger
1102,Female,18,White,Never-married,HS-grad,Dominican-Republic,Private,Machine-op-inspct,<=50K,8126727,flynn,painter
4701,Female,18,White,Never-married,12th,United-States,Private,Sales,<=50K,1390998,jordan,allegretto
1974,Female,18,White,Never-married,11th,United-States,Private,Prof-specialty,<=50K,7712618,nogivenname,riding
4754,Male,18,White,Never-married,11th,United-States,Private,Craft-repair,<=50K,7175344,anastasia,longman
3209,Male,18,Black,Never-married,11th,United-States,Private,Other-service,<=50K,8081610,tarnee,fitzpatrick
4072,Male,18,White,Never-married,11th,United-States,Private,Machine-op-inspct,<=50K,3358033,jessie,donkin
791,Female,18,White,Never-married,11th,United-States,Private,Adm-clerical,<=50K,8526649,noah,rawlings
1435,Male,18,White,Never-married,12th,United-States,Private,Handlers-cleaners,<=50K,2238622,jared,coleman
1789,Female,18,White,Never-married,11th,United-States,Local-gov,Adm-clerical,<=50K,6427137,jack,robson
2471,Male,18,White,Divorced,Some-college,United-States,Private,Other-service,<=50K,7440041,bridget,maynard
3245,Male,18,Black,Never-married,HS-grad,United-States,Private,Other-service,<=50K,4524499,tai,saunders'wise
1563,Female,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,1072661,jason,tebbutt
2573,Male,18,White,Never-married,10th,United-States,Private,Sales,<=50K,8183648,flynn,simmonds
2855,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,3998567,ella,hawes
4305,Female,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,7289058,nogivenname,manzie
540,Male,18,White,Never-married,11th,United-States,Private,Other-service,<=50K,6882558,thomas,rankine
3431,Female,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,4115932,jett,white
73,Male,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,1581588,imogen,kiosses
3189,Male,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,7951303,dylan,patafta
209,Female,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,7739308,sebastian,collier
4094,Male,18,White,Never-married,12th,United-States,Private,Sales,<=50K,3214712,warrick,plane
190,Female,18,White,Never-married,11th,United-States,Private,Sales,<=50K,7753471,cooper,hammer
2846,Female,18,White,Never-married,12th,United-States,Private,Sales,<=50K,1510564,kaleb,mccarthy
2434,Female,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,7527562,olivia,druitt
3850,Female,18,White,Never-married,12th,United-States,Private,Other-service,<=50K,4360694,jacob,callahan
2201,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,2103478,briony,dudley
4367,Female,18,White,Never-married,11th,United-States,Private,Other-service,<=50K,6195510,lauren,ryan
725,Male,18,White,Never-married,12th,United-States,Private,Machine-op-inspct,<=50K,1583941,leon,mason
2387,Male,18,White,Never-married,10th,United-States,Private,Handlers-cleaners,<=50K,7251376,william,reid
2109,Female,18,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,2105506,nikita,helliar
3846,Male,18,White,Never-married,12th,United-States,Private,Craft-repair,<=50K,8300817,natalia,bajic
2392,Female,18,Amer-Indian-Eskimo,Never-married,11th,United-States,Private,Sales,<=50K,2185538,bree,boase
3116,Female,18,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,4259044,xanthe,pringle
3871,Female,18,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,3174751,benjamin,matthews
3433,Male,18,Black,Never-married,11th,United-States,Private,Other-service,<=50K,2097814,jessica,ryan
2326,Male,18,White,Never-married,12th,United-States,Local-gov,Protective-serv,<=50K,9635640,zachary,mccully
4787,Male,18,White,Never-married,12th,United-States,Private,Adm-clerical,<=50K,8656075,jackson,campbell
1522,Male,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,1782013,kayla,ottens
3979,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,5207765,gabrielle,blake
3222,Female,18,White,Never-married,Some-college,United-States,Private,Sales,<=50K,3554799,abby,tsokas
2591,Male,18,White,Never-married,12th,United-States,Local-gov,Prof-specialty,<=50K,1739435,emiily,finlay
165,Male,18,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,4812402,riley,landow
4522,Male,18,White,Never-married,12th,United-States,Private,Adm-clerical,<=50K,6578982,dylan,bullock
2478,Male,[18-19],White,Never-married,11th,United-States,Private,Other-service,<=50K,6938730,hannah,ho
2988,Male,[18-19],White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,2372845,alana,thredgold
467,Male,[18-19],White,Never-married,Some-college,United-States,Private,Protective-serv,<=50K,2561010,madison,coltman
810,Female,[18-19],White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K,9133988,harrison,painter
3594,Male,[18-19],White,Never-married,Some-college,United-States,Private,Other-service,<=50K,2993599,tristan,blackwell
4148,Male,[18-19],White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,5268628,timothy,gilley
4311,Male,[18-19],White,Never-married,Some-college,United-States,Private,Other-service,<=50K,6085755,katelyn,lodge
2502,Female,[18-19],White,Never-married,Some-college,United-States,Private,Other-service,<=50K,4299413,imogen,boyle
1680,Female,[18-19],White,Never-married,Some-college,United-States,Private,Sales,<=50K,1449123,fergus,clarke
2151,Female,19,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K,2408163,emiily,reid
1896,Male,19,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K,3922548,harry,pardey
2395,Male,19,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K,1236601,reganne,camp
2534,Female,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,6179346,brooke,hendricks
2496,Male,19,White,Never-married,11th,Mexico,Private,Handlers-cleaners,<=50K,7179398,brianna,parr
2204,Female,19,White,Never-married,HS-grad,United-States,Private,Sales,<=50K,4217543,keira,zawistowski
4190,Male,19,White,Never-married,11th,United-States,Private,Handlers-cleaners,<=50K,6559247,tahlia,herbert
1465,Male,19,White,Never-married,11th,United-States,Private,Machine-op-inspct,<=50K,9564362,katelyn,cochrane
2486,Male,19,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K,3748468,makenzi,lowe
3014,Male,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K,7677004,oliver,verner
4863,Female,19,White,Never-married,Some-college,United-States,Private,Other-service,<=50K,3268350,liam,maclennan
1445,Male,19,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K,9472794,nogivenname,allard
